id,address,businessName,photoURL,city,state,url,reviewCount,stars,longitude,latitude
439,"3432 Sansom StUniversity CityPhiladelphia, PA 19104",Doc Magrogan's Oyster House,http://s3-media2.ak.yelpcdn.com/bphoto/1EHMfS5vnp4_WvT4oKVi2A/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/doc-magrogans-oyster-house-philadelphia,20,3,-75.1932666,39.9537091
440,"3943 Chestnut StUniversity CityPhiladelphia, PA 19104",Papa John's,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Philadelphia,PA,http://www.yelp.com/biz/papa-johns-philadelphia-2,3,2.5,-75.2020731,39.9557602
441,"Powelton VillagePhiladelphia, PA 19104",Price Is Right Plumbing & Drain Cleaning,http://s3-media4.ak.yelpcdn.com/bphoto/_bIQICxdYtf5srkKubXN9g/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/price-is-right-plumbing-and-drain-cleaning-philadelphia,9,3,-75.1953934,39.9583587
442,"20 S 36th StUniversity CityPhiladelphia, PA 19104",Axis Cafe/Stratum Cafe,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Philadelphia,PA,http://www.yelp.com/biz/axis-cafe-stratum-cafe-philadelphia,6,2.5,-75.194678,39.955264
443,"3801 Chestnut StUniversity CityPhiladelphia, PA 19104",Chili's Grill & Bar,http://s3-media2.ak.yelpcdn.com/bphoto/7Gyv1osW3cbvOYCZOv-2tw/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/chilis-grill-and-bar-philadelphia-3,24,3,-75.198948,39.955642
444,"4008 Spruce StUniversity CityPhiladelphia, PA 19104",University Pinball,http://s3-media1.ak.yelpcdn.com/bphoto/jlY_4f3ykKGq1Yf3rbMh-Q/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/university-pinball-philadelphia,17,4,-75.203551,39.9515529
445,"3700 Chestnut StUniversity CityPhiladelphia, PA 19104",Tabernacle United Church,http://s3-media1.ak.yelpcdn.com/bphoto/vwTTeYfWtIoTyLcgwFnMtA/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/tabernacle-united-church-philadelphia,2,4,-75.1965799,39.954833
446,"3426 Sansom StUniversity CityPhiladelphia, PA 19104",Saturn Club,http://s3-media1.ak.yelpcdn.com/bphoto/A5li_BZdmgmJJZHChla_iw/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/saturn-club-philadelphia,35,3,-75.1931188,39.9535501
447,"3408 Sansom StUniversity CityPhiladelphia, PA 19104",New Deck Tavern,http://s3-media1.ak.yelpcdn.com/bphoto/qNrHEs5mZrwg8EW4Vd4VvA/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/new-deck-tavern-philadelphia,174,3.5,-75.1926036,39.9536071
448,"37th St and Walnut StUniversity CityPhiladelphia, PA 19104",Kim's Oriental Food,http://s3-media1.ak.yelpcdn.com/bphoto/boYX8KGdHleIf1s9clvbcQ/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/kims-oriental-food-philadelphia,36,4,-75.19755363,39.95388214
449,"3401 Lancaster AvePowelton VillagePhiladelphia, PA 19104",Seven Eleven,http://s3-media3.ak.yelpcdn.com/bphoto/evtkKkVvYHC4lB2RvkOKng/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/seven-eleven-philadelphia,10,3,-75.19143,39.957658
450,"2955 Market StUniversity CityPhiladelphia, PA 19104",Cucina Italiana,http://s3-media4.ak.yelpcdn.com/bphoto/u7PTDDUmMUldPiS8_CRVVw/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/cucina-italiana-philadelphia,4,2.5,-75.185108,39.954622
451,"3505 Lancaster AvePowelton VillagePhiladelphia, PA 19104",Savas,http://s3-media4.ak.yelpcdn.com/bphoto/zvVjmkB8MrMuOc21f7-k1Q/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/savas-philadelphia,51,3.5,-75.1928662,39.9583142
452,"3535 Market StPowelton VillagePhiladelphia, PA 19104",Cafe Soleil,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Philadelphia,PA,http://www.yelp.com/biz/cafe-soleil-philadelphia,5,5,-75.193911,39.956423
453,"8899 University Ctr LnUniversity CitySan Diego, CA 92122","Kincaid Stuart, MD",http://s3-media4.ak.yelpcdn.com/bphoto/CJKXsAy0eH9TdQt7YHcHgQ/ms.jpg,San Diego,CA,http://www.yelp.com/biz/kincaid-stuart-md-san-diego,8,1.5,-117.2280774,32.8700905
